zone,zone_lat,zone_lon,predicted_violations,covered,displaced_out,displaced_in,residual_predicted
GRID_12.95_77.6,12.950705005882353,77.59802496764706,0.07100612,False,0.0,0.0,0.07
GRID_12.95_77.54,12.948924743243243,77.53627235135134,0.046378013,False,0.0,0.0,0.05
GRID_12.94_77.56,12.939965647566185,77.56059371230603,0.017592112,False,0.0,0.0,0.02
GRID_12.94_77.54,12.9359428,77.53664115813953,0.04507413,False,0.0,0.0,0.05
GRID_13.03_77.72,13.026486195454545,77.72048106136364,0.02625139,False,0.0,0.0,0.03
GRID_13.07_77.58,13.068148129545454,77.58147164772727,0.046761,False,0.0,0.0,0.05
GRID_12.88_77.54,12.876397178408666,77.54386937380542,0.030971546,False,0.0,0.0,0.03
GRID_12.92_77.69,12.923178763043477,77.69307462826087,0.016250536,False,0.0,0.0,0.02
GRID_12.92_77.61,12.922605736666666,77.60966229333333,0.031996045,False,0.0,0.0,0.03
GRID_12.92_77.63,12.92004566369854,77.6312558726217,0.026905332,False,0.0,0.0,0.03
GRID_12.9_77.66,12.900134571794872,77.65976601538462,0.04334796,False,0.0,0.0,0.04
GRID_13.08_77.64,13.083567150847458,77.63748976440678,0.018256163,False,0.0,0.0,0.02
GRID_13.01_77.49,13.014025631666668,77.49201588666666,0.010680372,False,0.0,0.0,0.01
GRID_12.93_77.59,12.930219643283582,77.59222739552239,0.04650884,False,0.0,0.0,0.05
GRID_13.02_77.62,13.019522700000001,77.618651275,0.05519298,False,0.0,0.0,0.06
GRID_13.02_77.65,13.020300823421186,77.65060499736974,0.06742965,False,0.0,0.0,0.07
GRID_13.2_77.7,13.197684744827585,77.7036875724138,0.06457489,False,0.0,0.0,0.06
GRID_12.92_77.5,12.918121676470589,77.49975779019607,0.0115494905,False,0.0,0.0,0.01
GRID_12.88_77.75,12.883512000851775,77.7522734243868,0.02741463,False,0.0,0.0,0.03
GRID_12.91_77.53,12.90775891669538,77.53299172373735,0.03701719,False,0.0,0.0,0.04
GRID_12.91_77.49,12.913707493475702,77.48642554406227,0.07181905,False,0.0,0.0,0.07
GRID_13.03_77.52,13.026897111111111,77.51933145294117,0.04011702,False,0.0,0.0,0.04
GRID_13.1_77.57,13.098220407017543,77.57027073859649,0.010951213,False,0.0,0.0,0.01
GRID_13.11_77.58,13.112243488888888,77.57976052222222,0.017839529,False,0.0,0.0,0.02
GRID_13.12_77.58,13.116791714285714,77.57797484642857,0.008075995,False,0.0,0.0,0.01
GRID_12.83_77.68,12.827809036666668,77.68211430666666,0.011182744,False,0.0,0.0,0.01
GRID_12.97_77.5,12.969020283333334,77.4992535125,0.008753207,False,0.0,0.0,0.01
GRID_12.98_77.54,12.980938809804538,77.536348825219,0.0064993184,False,0.0,0.0,0.01
GRID_13.18_77.64,13.175973731578948,77.63583603157895,0.0035581468,False,0.0,0.0,0.0
GRID_13.19_77.64,13.188208571428572,77.64311277142858,0.003947675,False,0.0,0.0,0.0
GRID_13.05_77.62,13.05278066,77.62071459,0.009635394,False,0.0,0.0,0.01
GRID_12.96_77.69,12.95581501585198,77.69259211574789,0.008030832,False,0.0,0.0,0.01
GRID_12.96_77.6,12.964484370000001,77.60435016,0.020977927,False,0.0,0.0,0.02
GRID_13.05_77.65,13.05201485625,77.6460451,0.008695158,False,0.0,0.0,0.01
GRID_12.96_77.74,12.95693324137931,77.74018281379311,0.028673338,False,0.0,0.0,0.03
GRID_12.98_77.57,12.983670052173913,77.56788374347826,0.021624511,True,0.01,0.0,0.01
GRID_12.87_77.57,12.872336268181819,77.56720350454545,0.013054205,False,0.0,0.0,0.01
GRID_12.87_77.53,12.866388935714285,77.53445340714286,0.025659166,False,0.0,0.0,0.03
GRID_13.04_77.55,13.043196590909092,77.55225407727272,0.009799533,False,0.0,0.0,0.01
GRID_13.04_77.54,13.037680607692307,77.53550968076924,0.009453265,False,0.0,0.0,0.01
GRID_12.88_77.61,12.8801837,77.61058101904761,0.003230161,False,0.0,0.0,0.0
GRID_13.04_77.56,13.039630500000001,77.55911337647059,0.006550681,False,0.0,0.0,0.01
GRID_13.16_77.6,13.160785872727272,77.59562729999999,0.029181655,False,0.0,0.0,0.03
GRID_13.16_77.63,13.161317013043478,77.62658301304349,0.023001287,False,0.0,0.0,0.02
GRID_12.89_77.61,12.89145265,77.6086065,0.023630008,False,0.0,0.0,0.02
GRID_12.89_77.63,12.892080142857143,77.63138413571428,0.0105648395,False,0.0,0.0,0.01
GRID_12.94_77.55,12.94005902,77.55048685714286,0.0075807944,False,0.0,0.0,0.01
GRID_13.07_77.57,13.067859961111111,77.57079690555555,0.005435669,False,0.0,0.0,0.01
GRID_13.07_77.45,13.067810025,77.44944453,0.012348887,False,0.0,0.0,0.01
