zone,zone_kind,bin_start,zone_lat,zone_lon,predicted_violations,risk,priority_score,congestion_index,est_capacity_reduction_pct,pcu_load,forecast_window_start
GRID_12.84_77.64,grid,2024-04-09,12.84218213521131,77.64429451715615,0.35761824,Low,2.4,1.6,1.0,0.41,2024-04-09
GRID_13.05_77.59,grid,2024-04-09,13.050785760443624,77.59295122402958,0.2871483,Low,2.3,1.0,0.6,0.26,2024-04-09
GRID_13.03_77.57,grid,2024-04-09,13.028638109259258,77.57249247849002,0.2374621,Low,2.3,0.9,0.5,0.22,2024-04-09
GRID_13.01_77.53,grid,2024-04-09,13.008735529850746,77.5276437814499,0.36000642,Low,2.3,3.3,2.0,0.84,2024-04-09
GRID_13.03_77.58,grid,2024-04-09,13.027638487411393,77.57810546454687,0.38327795,Low,2.2,1.5,0.9,0.37,2024-04-09
GRID_13.0_77.69,grid,2024-04-09,12.996998279039644,77.69257045415564,0.2715235,Low,2.2,1.5,0.9,0.38,2024-04-09
GRID_13.12_77.61,grid,2024-04-09,13.12090222142857,77.61108189214285,0.63214445,Low,2.2,2.7,1.6,0.67,2024-04-09
GRID_12.98_77.56,grid,2024-04-09,12.975795432199533,77.55887079442296,0.16617006,Low,2.2,0.4,0.3,0.11,2024-04-09
GRID_13.02_77.59,grid,2024-04-09,13.0220579012939,77.59131261330869,0.17206174,Low,2.2,0.6,0.3,0.14,2024-04-09
GRID_13.0_77.56,grid,2024-04-09,12.99663009876325,77.56270722173144,0.18175659,Low,2.1,0.5,0.3,0.14,2024-04-09
GRID_12.99_77.59,grid,2024-04-09,12.992556024609375,77.59109175605468,0.21890056,Low,2.1,0.6,0.4,0.15,2024-04-09
GRID_12.97_77.72,grid,2024-04-09,12.966027628856624,77.71780480108893,0.12658158,Low,2.1,0.4,0.3,0.11,2024-04-09
GRID_12.88_77.6,grid,2024-04-09,12.878281968476093,77.59635725492348,0.23293586,Low,2.1,0.7,0.4,0.18,2024-04-09
GRID_12.96_77.55,grid,2024-04-09,12.964367150310558,77.5530788757764,0.27948815,Low,1.9,1.0,0.6,0.25,2024-04-09
GRID_12.98_77.7,grid,2024-04-09,12.978652590033535,77.6956770725469,0.364007,Low,1.9,2.0,1.2,0.51,2024-04-09
GRID_12.96_77.52,grid,2024-04-09,12.957394943609996,77.51879339553686,0.28049764,Low,1.9,1.0,0.6,0.26,2024-04-09
GRID_12.93_77.61,grid,2024-04-09,12.929638162987013,77.60734136580086,0.17826244,Low,1.9,0.8,0.5,0.2,2024-04-09
GRID_12.94_77.52,grid,2024-04-09,12.937497335616438,77.52017331666667,0.2548298,Low,1.8,0.9,0.5,0.22,2024-04-09
GRID_13.01_77.56,grid,2024-04-09,13.008857324,77.55673444610527,0.19229592,Low,1.8,0.5,0.3,0.13,2024-04-09
GRID_13.1_77.58,grid,2024-04-09,13.09892656644737,77.57968609934211,0.4442564,Low,1.7,1.7,1.0,0.42,2024-04-09
GRID_12.96_77.54,grid,2024-04-09,12.964293660915493,77.54110575140845,0.26787674,Low,1.6,0.8,0.5,0.2,2024-04-09
GRID_12.96_77.53,grid,2024-04-09,12.960900165382622,77.52774607510695,0.029543638,Low,1.6,0.1,0.0,0.02,2024-04-09
GRID_13.02_77.55,grid,2024-04-09,13.018747146477583,77.55112968158963,0.33186117,Low,1.6,2.0,1.2,0.51,2024-04-09
GRID_12.98_77.63,grid,2024-04-09,12.978876603778344,77.62869914521781,0.18474154,Low,1.6,0.9,0.5,0.22,2024-04-09
GRID_13.03_77.63,grid,2024-04-09,13.029549156565658,77.6288787060606,0.4667801,Low,1.6,2.4,1.4,0.6,2024-04-09
GRID_13.04_77.52,grid,2024-04-09,13.039708836984687,77.51855996042403,0.27577943,Low,1.6,1.7,1.0,0.43,2024-04-09
GRID_12.99_77.62,grid,2024-04-09,12.990668579276702,77.61728964408472,0.24125257,Low,1.6,0.9,0.5,0.22,2024-04-09
GRID_12.93_77.7,grid,2024-04-09,12.93199635279955,77.69593647237595,0.36136425,Low,1.5,2.7,1.6,0.69,2024-04-09
GRID_13.01_77.54,grid,2024-04-09,13.009479617985612,77.54224147302158,0.24218306,Low,1.5,1.0,0.6,0.26,2024-04-09
GRID_12.96_77.51,grid,2024-04-09,12.960962846896553,77.51152006390805,0.09880817,Low,1.5,0.5,0.3,0.12,2024-04-09
GRID_13.0_77.62,grid,2024-04-09,12.998891192227978,77.61948345569948,0.15466397,Low,1.5,0.6,0.4,0.16,2024-04-09
GRID_13.02_77.58,grid,2024-04-09,13.023095236462277,77.58470699353232,0.271999,Low,1.5,1.2,0.7,0.31,2024-04-09
